file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,p_port_3.started,secondary.started,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,165.26364840002498,165.26364840002498,0.5334507999941707,170.02622699999483,0.5412859999923967,0.000812100013718009,0.000812100013718009,176.14532720000716,176.14532720000716,0.009459300024900585,40.0,-180.0,1,0,0,6.869768999982625,'click_1',1.7899961676448584e-05,183.01158130000113,0.004077099962159991,183.51603190001333,-0.0005189999938011169,-0.0005189999938011169,183.51603190001333,183.51603190001333,183.51603190001333,0.00851620000321418,37.0,-172.0,1,0,0,10.084703000029549,'click_2',1.6600009985268116e-05,0.008441200014203787,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,0.14379030000418425,195.2439404000179,0.15107279998483136,0.0007850999827496707,0.0007850999827496707,201.19599680003012,201.19599680003012,0.00969709997298196,85.0,-126.0,1,0,0,4.152442099992186,'click_1',1.5199999324977398e-05,205.34927060001064,0.008907800016459078,,0.0026231000083498657,0.0026231000083498657,205.8522155000246,205.8522155000246,205.8522155000246,0.011834200005978346,91.0,-127.0,1,0,0,5.097706400032621,'click_2',1.4899997040629387e-05,0.008792100008577108,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,0.14406670001335442,212.59293149999576,0.15135419997386634,0.0007741000154055655,0.0007741000154055655,218.5459242000361,218.5459242000361,0.009705100033897907,-37.0,-138.0,1,0,0,5.097835200023837,'click_1',1.4599994756281376e-05,223.64443159999792,0.008825400029309094,,0.0023772999993525445,0.0023772999993525445,224.14722530002473,224.14722530002473,224.14722530002473,0.011619700002484024,-87.0,-62.0,1,0,0,4.052494800009299,'click_2',2.2499996703118086e-05,0.008707100001629442,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,0.15023239998845384,229.84889120003209,0.15761339996242896,0.0008557999972254038,0.0008557999972254038,235.80564730003243,235.80564730003243,0.00977099995361641,128.0,74.0,1,0,0,3.6291549999732524,'click_1',1.5400000847876072e-05,239.43544989998918,0.00873260002117604,,0.0023188000195659697,0.0023188000195659697,239.93821059999755,239.93821059999755,239.93821059999755,0.011517600039951503,141.0,32.0,1,0,0,3.318446799996309,'click_2',2.2500054910779e-05,0.0082852000487037,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,0.14130060002207756,244.8969436000334,0.14862710004672408,0.0008277000160887837,0.0008277000160887837,250.85131250001723,250.85131250001723,0.009733600018080324,-32.0,179.0,1,0,0,3.398173699970357,'click_1',1.639995025470853e-05,254.25010180001846,0.008761799952480942,,0.0026324999635107815,0.0026324999635107815,254.75315890001366,254.75315890001366,254.75315890001366,0.011819199949968606,-78.0,127.0,1,0,0,2.61516639997717,'click_2',1.4099990949034691e-05,0.008236600027885288,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,0.14740339998388663,259.0149831000017,0.15491990000009537,0.0008154000388458371,0.0008154000388458371,264.9635542000178,264.9635542000178,0.009757500025443733,-130.0,95.0,1,0,0,4.836436600016896,'click_1',1.5199999324977398e-05,269.80033719999483,0.008482699980959296,,0.002070999995339662,0.002070999995339662,270.30316760001006,270.30316760001006,270.30316760001006,0.011340999975800514,-66.0,-115.0,1,0,0,2.312605800048914,'click_2',1.4999997802078724e-05,0.00878739997278899,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,20.56846249999944,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/02.subtle/JM2_Anger.mp4,angry,subtle,maschio,8,10,1646,926,8,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,7,,,0.1446892999811098,300.53818430000683,0.15199559996835887,0.0006856000400148332,0.0006856000400148332,311.45421019999776,311.45421019999776,0.009901000012177974,-32.0,-159.0,1,0,0,3.7300092999939807,'click_1',1.5600002370774746e-05,315.1845736000105,0.00839029997587204,,0.0017074999632313848,0.0017074999632313848,315.68729500001064,315.68729500001064,315.68729500001064,0.011106399993877858,-28.0,150.0,1,0,0,3.730561600008514,'click_2',1.5199999324977398e-05,0.008490099979098886,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/02.subtle/JM1_Neutral.mp4,neutral,subtle,maschio,7,10,1646,926,27,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,26,,,0.1496420999756083,321.0664346999838,0.15683809999609366,0.0007472999859601259,0.0007472999859601259,331.41767520003486,331.41767520003486,0.00973699998576194,-128.0,92.0,1,0,0,2.49329910002416,'click_1',1.5400000847876072e-05,333.9116054000333,0.008740699966438115,,0.0021246999967843294,0.0021246999967843294,334.41448249999667,334.41448249999667,334.41448249999667,0.011651800014078617,-84.0,137.0,1,0,0,2.4835078000323847,'click_2',1.479999627918005e-05,0.008611499972175807,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
