file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,p_port_3.started,secondary.started,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,211.71321960003115,211.71321960003115,0.5663188999751583,217.59599659999367,0.5743214000249282,0.0008108000038191676,0.0008108000038191676,223.7154639000073,223.7154639000073,0.009537199977785349,28.0,-142.0,1,0,0,6.549118499970064,'click_1',1.8700025975704193e-05,230.261141300085,0.004064099979586899,230.7660796000855,0.00020810007117688656,0.00020810007117688656,230.7660796000855,230.7660796000855,230.7660796000855,0.00904380006249994,61.0,-78.0,1,0,0,11.78542450000532,'click_2',1.5300000086426735e-05,0.008705899934284389,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0.14118469995446503,244.19221800006926,0.1484724999172613,0.0006730000022798777,0.0006730000022798777,250.14828810002655,250.14828810002655,0.009796799975447357,-178.0,113.0,1,0,0,3.2681763001019135,'click_1',1.4099990949034691e-05,253.41691999998875,0.008802699972875416,,0.0024124999763444066,0.0024124999763444066,253.919810899999,253.919810899999,253.919810899999,0.01172079995740205,-55.0,75.0,1,0,0,8.899935800000094,'click_2',1.309998333454132e-05,0.00898150005377829,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,0.1413755000103265,264.460066700005,0.14875679998658597,0.0007741000736132264,0.0007741000736132264,270.41585099999793,270.41585099999793,0.009744400042109191,-27.0,126.0,1,0,0,4.795802199980244,'click_1',1.379998866468668e-05,275.2124470000854,0.00889099994674325,,0.002265700022689998,0.002265700022689998,275.7150628999807,275.7150628999807,275.7150628999807,0.011543500004336238,-20.0,129.0,1,0,0,7.581607799977064,'click_2',1.7400016076862812e-05,0.008923299959860742,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,0.1454308999236673,284.940899200039,0.1526865999912843,0.0008048999588936567,0.0008048999588936567,290.8920606999891,290.8920606999891,0.009798099985346198,207.0,-52.0,1,0,0,2.965966199990362,'click_1',1.4299992471933365e-05,293.8586278000148,0.008758299984037876,,0.0022173000033944845,0.0022173000033944845,294.3613140999805,294.3613140999805,294.3613140999805,0.01150180003605783,124.0,74.0,1,0,0,4.56534059997648,'click_2',1.3899989426136017e-05,0.008864799980074167,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,0.14622770005371422,300.57176740001887,0.15353090001735836,0.0007631001062691212,0.0007631001062691212,306.5225195999956,306.5225195999956,0.009690900100395083,0.0,0.0,1,0,0,9.05872970004566,'click_1',1.300009898841381e-05,315.5821836000541,0.009093500091694295,,0.002565900096669793,0.002565900096669793,316.08510610007215,316.08510610007215,316.08510610007215,0.01199820009060204,0.0,0.0,1,0,0,1.0854123000754043,'click_2',1.4299992471933365e-05,0.009208599920384586,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,0.14465829997789115,318.81376460008323,0.15186419989913702,0.0006899000145494938,0.0006899000145494938,324.7658261000179,324.7658261000179,0.009752199985086918,-37.0,-192.0,1,0,0,4.4143119000364095,'click_1',1.5700003132224083e-05,329.18053680006415,0.008582600043155253,,0.0021129000233486295,0.0021129000233486295,329.68325160001405,329.68325160001405,329.68325160001405,0.011337600066326559,-37.0,-199.0,1,0,0,3.3177777000237256,'click_2',1.3299984857439995e-05,0.00899330002721399,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,66.94356769998558,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/M03-Sadness-Face Forward.mp4,sad,full,maschio,4,6,720,576,48,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,47,,,0.16679579997435212,409.75761369999964,0.174194399965927,0.000685199978761375,0.000685199978761375,415.71183829999063,415.71183829999063,0.00974879995919764,-45.0,-191.0,1,0,0,2.040810100035742,'click_1',1.4399993233382702e-05,417.7531415000558,0.008384300046600401,,0.0021647000685334206,0.0021647000685334206,418.25610760005657,418.25610760005657,418.25610760005657,0.011404299992136657,-56.0,-90.0,1,0,0,6.899544100044295,'click_2',1.4199991710484028e-05,0.007072499953210354,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/02.subtle/JF2_Sadness.mp4,sad,subtle,femmina,6,8,1646,926,18,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,17,,,0.15136789996176958,426.8062457999913,0.15864569996483624,0.0008465000428259373,0.0008465000428259373,435.1238484000787,435.1238484000787,0.009712800034321845,-29.0,-196.0,1,0,0,6.195140699972399,'click_1',1.3499986380338669e-05,441.3196398,0.008705100044608116,,0.0022977000335231423,0.0022977000335231423,441.8224202999845,441.8224202999845,441.8224202999845,0.011513800011016428,-28.0,-191.0,1,0,0,7.57253020000644,'click_2',1.3299984857439995e-05,0.008705099928192794,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/M03-Fear-Face Forward.mp4,fear,full,maschio,4,6,720,576,32,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,31,,,0.14594029996078461,451.03982429997995,0.15328859991859645,0.0006788000464439392,0.0006788000464439392,456.9902743999846,456.9902743999846,0.009930899948813021,25.0,-150.0,1,0,0,15.02282740001101,'click_1',1.2899981811642647e-05,472.0136421000352,0.008993900031782687,,0.002650100039318204,0.002650100039318204,472.5165721999947,472.5165721999947,472.5165721999947,0.011975500034168363,36.0,-141.0,1,0,0,1.7395009000319988,'click_2',1.2999982573091984e-05,0.008738500066101551,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/M02-Fear-Face Forward.mp4,fear,full,maschio,3,6,720,576,31,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,30,,,0.13970129995141178,475.89462140004616,0.1470064000459388,0.0006664000684395432,0.0006664000684395432,481.85186280007474,481.85186280007474,0.009977700072340667,-119.0,-172.0,1,0,0,6.0331777998944744,'click_1',1.2999982573091984e-05,487.88558130001184,0.009041799930855632,,0.0023360999766737223,0.0023360999766737223,488.3880452000303,488.3880452000303,488.3880452000303,0.011519499938003719,27.0,-98.0,1,0,0,1.709534400026314,'click_2',1.2399978004395962e-05,0.008635599981062114,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/F03-Neutral-Face Forward.mp4,neutral,full,femmina,2,6,720,576,54,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,53,,,0.1404888000106439,491.7371843000874,0.14794419996906072,0.0007502998923882842,0.0007502998923882842,497.6945443000877,497.6945443000877,0.009774899925105274,0.0,0.0,1,0,0,3.267652199952863,'click_1',1.3399985618889332e-05,500.9628313999856,0.008795500034466386,,0.0020939999958500266,0.0020939999958500266,501.46548530005384,501.46548530005384,501.46548530005384,0.011473900056444108,0.0,0.0,1,0,0,1.2165098999394104,'click_2',1.3299984857439995e-05,0.008848499972373247,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/F03-Anger-Face Forward.mp4,angry,full,femmina,2,6,720,576,34,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,33,,,0.14582519989926368,504.32654949999414,0.1530465999385342,0.0005910999607294798,0.0005910999607294798,510.27818160003517,510.27818160003517,0.00992240000050515,-41.0,189.0,1,0,0,3.5001582000404596,'click_1',1.7300015315413475e-05,513.7777606999734,0.007970400038175285,,0.001339699956588447,0.001339699956588447,514.2803538000444,514.2803538000444,514.2803538000444,0.010606299969367683,-37.0,186.0,1,0,0,1.7998681999742985,'click_2',1.379998866468668e-05,0.008787199971266091,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/M03-Anger-Face Forward.mp4,angry,full,maschio,4,6,720,576,36,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,35,,,0.14727019995916635,517.7264357000822,0.154614899889566,0.0006776000373065472,0.0006776000373065472,523.67523240007,523.67523240007,0.009807000053115189,-29.0,184.0,1,0,0,3.901242799940519,'click_1',1.3599987141788006e-05,527.5768857999938,0.0087782999034971,,0.0025522999931126833,0.0025522999931126833,528.0799196000444,528.0799196000444,528.0799196000444,0.011834300006739795,-81.0,113.0,1,0,0,1.8499954000581056,'click_2',1.3299984857439995e-05,0.009020199999213219,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/F03-Fear-Face Forward.mp4,fear,full,femmina,2,6,720,576,30,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,29,,,0.14672910002991557,531.5755125000142,0.15407669998239726,0.0006660000653937459,0.0006660000653937459,537.5252906000242,537.5252906000242,0.00970160006545484,-125.0,77.0,1,0,0,7.863666099961847,'click_1',1.4499993994832039e-05,545.389911300037,0.009178100037388504,,0.002886999980546534,0.002886999980546534,545.8928134000162,545.8928134000162,545.8928134000162,0.012131100054830313,24.0,-100.0,1,0,0,2.2925746999680996,'click_2',1.309998333454132e-05,0.008757999981753528,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/02.subtle/JF1_Fear.mp4,fear,subtle,femmina,5,10,1646,926,1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,0,,,0.15007579990196973,549.8343104000669,0.15733289998024702,0.0006801999406889081,0.0006801999406889081,560.5873603000073,560.5873603000073,0.00975189998280257,-110.0,-168.0,1,0,0,3.388782700058073,'click_1',1.3800105080008507e-05,563.9769257999724,0.0090618000831455,,0.00250110006891191,0.00250110006891191,564.4796689000214,564.4796689000214,564.4796689000214,0.011774600017815828,-163.0,-110.0,1,0,0,1.1865916999522597,'click_2',1.4499993994832039e-05,0.008718700031749904,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
