subject,video_set,emotion,intensity
01dkf6na,ADFES,surprise,185.8873001304566
01dkf6na,ADFES,anger,170.78063579972064
01dkf6na,ADFES,disgust,222.95086752734304
01dkf6na,ADFES,sadness,171.99995731687642
01dkf6na,ADFES,fear,126.70718893552788
01dkf6na,ADFES,happiness,176.0292379417252
01dkf6na,ADFES,neutrality,3.0584690310220113
01dkf6na,JeFEE,surprise,159.07854729688594
01dkf6na,JeFEE,anger,169.52191577131953
01dkf6na,JeFEE,disgust,144.8395102778252
01dkf6na,JeFEE,sadness,129.79578001316528
01dkf6na,JeFEE,fear,132.26627507225294
01dkf6na,JeFEE,happiness,180.4898403802456
01dkf6na,JeFEE,neutrality,2.709069674613868
02rvvdck,ADFES,surprise,255.063389306824
02rvvdck,ADFES,anger,240.03636789809573
02rvvdck,ADFES,disgust,248.42929513873497
02rvvdck,ADFES,sadness,229.9748955164811
02rvvdck,ADFES,fear,243.5495824498755
02rvvdck,ADFES,happiness,247.07178499857216
02rvvdck,ADFES,neutrality,4.89823148020674
02rvvdck,JeFEE,surprise,218.5379630856283
02rvvdck,JeFEE,anger,206.8989013295465
02rvvdck,JeFEE,disgust,173.34027253138302
02rvvdck,JeFEE,sadness,128.6574165059927
02rvvdck,JeFEE,fear,145.7189359318458
02rvvdck,JeFEE,happiness,209.44866526583618
02rvvdck,JeFEE,neutrality,5.937358296409758
05vna3n7,ADFES,surprise,208.9108553288898
05vna3n7,ADFES,anger,166.52989902223482
05vna3n7,ADFES,disgust,233.68149897040436
05vna3n7,ADFES,sadness,218.15530734613543
05vna3n7,ADFES,fear,211.29051946170807
05vna3n7,ADFES,happiness,203.07863782086935
05vna3n7,ADFES,neutrality,3.759870785144433
05vna3n7,JeFEE,surprise,137.68785941427237
05vna3n7,JeFEE,anger,170.72204269754508
05vna3n7,JeFEE,disgust,200.99797654316757
05vna3n7,JeFEE,sadness,189.15113595443378
05vna3n7,JeFEE,fear,185.90642903219262
05vna3n7,JeFEE,happiness,166.73866294714503
05vna3n7,JeFEE,neutrality,17.764706918004357
0dj4xrwz,ADFES,surprise,177.93320288873124
0dj4xrwz,ADFES,anger,170.4125629696797
0dj4xrwz,ADFES,disgust,202.15026440744109
0dj4xrwz,ADFES,sadness,171.1564225003351
0dj4xrwz,ADFES,fear,227.44451695369364
0dj4xrwz,ADFES,happiness,223.96079345165526
0dj4xrwz,ADFES,neutrality,4.237148685154642
0dj4xrwz,JeFEE,surprise,195.2564526251037
0dj4xrwz,JeFEE,anger,142.70368141116063
0dj4xrwz,JeFEE,disgust,194.89995604459185
0dj4xrwz,JeFEE,sadness,132.0977347362228
0dj4xrwz,JeFEE,fear,142.23934579620493
0dj4xrwz,JeFEE,happiness,208.39251162598765
0dj4xrwz,JeFEE,neutrality,28.74999952586207
1bky7pq2,ADFES,surprise,186.73934507911318
1bky7pq2,ADFES,anger,228.4116190570791
1bky7pq2,ADFES,disgust,214.63233115260022
1bky7pq2,ADFES,sadness,153.12882819006103
1bky7pq2,ADFES,fear,167.33367449397613
1bky7pq2,ADFES,happiness,205.52257738350727
1bky7pq2,ADFES,neutrality,95.04520353688493
1bky7pq2,JeFEE,surprise,158.9337153877181
1bky7pq2,JeFEE,anger,238.65944710119004
1bky7pq2,JeFEE,disgust,189.85861783437633
1bky7pq2,JeFEE,sadness,99.12469291944927
1bky7pq2,JeFEE,fear,154.81892484330817
1bky7pq2,JeFEE,happiness,129.51110616736352
1bky7pq2,JeFEE,neutrality,53.885307748291964
1jesbvms,ADFES,surprise,177.72675558071813
1jesbvms,ADFES,anger,156.71261749672098
1jesbvms,ADFES,disgust,174.66550359127456
1jesbvms,ADFES,sadness,152.98204033200204
1jesbvms,ADFES,fear,183.52951949569447
1jesbvms,ADFES,happiness,190.50339907366038
1jesbvms,ADFES,neutrality,60.412371634168565
1jesbvms,JeFEE,surprise,130.07177806177214
1jesbvms,JeFEE,anger,133.47151189142815
1jesbvms,JeFEE,disgust,116.87396698223158
1jesbvms,JeFEE,sadness,120.1652541023211
1jesbvms,JeFEE,fear,119.67012488914031
1jesbvms,JeFEE,happiness,143.50268463070054
1jesbvms,JeFEE,neutrality,43.34227219898316
1jtd23n7,ADFES,surprise,192.20471555217586
1jtd23n7,ADFES,anger,158.88215900930282
1jtd23n7,ADFES,disgust,217.97980299819716
1jtd23n7,ADFES,sadness,216.47738087399912
1jtd23n7,ADFES,fear,212.80417891737613
1jtd23n7,ADFES,happiness,182.18203110970686
1jtd23n7,ADFES,neutrality,9.23571554136095
1jtd23n7,JeFEE,surprise,191.75496773119036
1jtd23n7,JeFEE,anger,149.13077706613285
1jtd23n7,JeFEE,disgust,144.18205923823223
1jtd23n7,JeFEE,sadness,134.69578274281557
1jtd23n7,JeFEE,fear,119.63515550733767
1jtd23n7,JeFEE,happiness,146.3209438729041
1jtd23n7,JeFEE,neutrality,17.935711501752362
1m3o7vtx,ADFES,surprise,245.66341386773152
1m3o7vtx,ADFES,anger,185.69155531324168
1m3o7vtx,ADFES,disgust,169.42124158808002
1m3o7vtx,ADFES,sadness,164.12139195866948
1m3o7vtx,ADFES,fear,236.63340886718453
1m3o7vtx,ADFES,happiness,241.69838509148843
1m3o7vtx,ADFES,neutrality,45.92349235096509
1m3o7vtx,JeFEE,surprise,192.0362772928916
1m3o7vtx,JeFEE,anger,158.11549902226574
1m3o7vtx,JeFEE,disgust,143.6839139871816
1m3o7vtx,JeFEE,sadness,81.10753228430124
1m3o7vtx,JeFEE,fear,162.86855079601182
1m3o7vtx,JeFEE,happiness,224.18855329180178
1m3o7vtx,JeFEE,neutrality,15.091129507546663
230qxghj,ADFES,surprise,193.29686956282114
230qxghj,ADFES,anger,189.0773752451726
230qxghj,ADFES,disgust,196.96354754475013
230qxghj,ADFES,sadness,181.60854232372617
230qxghj,ADFES,fear,210.79448794360167
230qxghj,ADFES,happiness,227.28711368962206
230qxghj,ADFES,neutrality,8.388369688371448
230qxghj,JeFEE,surprise,181.5486719520311
230qxghj,JeFEE,anger,151.41616172799007
230qxghj,JeFEE,disgust,159.4573562224431
230qxghj,JeFEE,sadness,147.04472697158
230qxghj,JeFEE,fear,143.24461398690457
230qxghj,JeFEE,happiness,158.9540253062495
230qxghj,JeFEE,neutrality,21.335576718537883
23un4xk0,ADFES,surprise,197.47133299074963
23un4xk0,ADFES,anger,139.50649162057056
23un4xk0,ADFES,disgust,175.0029586402206
23un4xk0,ADFES,sadness,154.50709866084685
23un4xk0,ADFES,fear,212.3316349785589
23un4xk0,ADFES,happiness,229.955226314691
23un4xk0,ADFES,neutrality,57.737452864743084
23un4xk0,JeFEE,surprise,155.9027466254904
23un4xk0,JeFEE,anger,208.89254942047037
23un4xk0,JeFEE,disgust,175.15237430464595
23un4xk0,JeFEE,sadness,206.79280139086706
23un4xk0,JeFEE,fear,220.9312848368132
23un4xk0,JeFEE,happiness,238.1589560129927
23un4xk0,JeFEE,neutrality,61.523595865045266
2bq4gp56,ADFES,surprise,238.31075720034465
2bq4gp56,ADFES,anger,220.83998176194177
