"subject","video_set","emotion","intensity"
"01dkf6na","ADFES","surprise",185.887300130457
"01dkf6na","ADFES","anger",170.780635799721
"01dkf6na","ADFES","disgust",222.950867527343
"01dkf6na","ADFES","sadness",171.999957316876
"01dkf6na","ADFES","fear",126.707188935528
"01dkf6na","ADFES","happiness",176.029237941725
"01dkf6na","JeFEE","surprise",159.078547296886
"01dkf6na","JeFEE","anger",169.52191577132
"01dkf6na","JeFEE","disgust",144.839510277825
"01dkf6na","JeFEE","sadness",129.795780013165
"01dkf6na","JeFEE","fear",132.266275072253
"01dkf6na","JeFEE","happiness",180.489840380246
"02rvvdck","ADFES","surprise",255.063389306824
"02rvvdck","ADFES","anger",240.036367898096
"02rvvdck","ADFES","disgust",248.429295138735
"02rvvdck","ADFES","sadness",229.974895516481
"02rvvdck","ADFES","fear",243.549582449875
"02rvvdck","ADFES","happiness",247.071784998572
"02rvvdck","JeFEE","surprise",218.537963085628
"02rvvdck","JeFEE","anger",206.898901329547
"02rvvdck","JeFEE","disgust",173.340272531383
"02rvvdck","JeFEE","sadness",128.657416505993
"02rvvdck","JeFEE","fear",145.718935931846
"02rvvdck","JeFEE","happiness",209.448665265836
"05vna3n7","ADFES","surprise",208.91085532889
"05vna3n7","ADFES","anger",166.529899022235
"05vna3n7","ADFES","disgust",233.681498970404
"05vna3n7","ADFES","sadness",218.155307346135
"05vna3n7","ADFES","fear",211.290519461708
"05vna3n7","ADFES","happiness",203.078637820869
"05vna3n7","JeFEE","surprise",137.687859414272
"05vna3n7","JeFEE","anger",170.722042697545
"05vna3n7","JeFEE","disgust",200.997976543168
"05vna3n7","JeFEE","sadness",189.151135954434
"05vna3n7","JeFEE","fear",185.906429032193
"05vna3n7","JeFEE","happiness",166.738662947145
"0dj4xrwz","ADFES","surprise",177.933202888731
"0dj4xrwz","ADFES","anger",170.41256296968
"0dj4xrwz","ADFES","disgust",202.150264407441
"0dj4xrwz","ADFES","sadness",171.156422500335
"0dj4xrwz","ADFES","fear",227.444516953694
"0dj4xrwz","ADFES","happiness",223.960793451655
"0dj4xrwz","JeFEE","surprise",195.256452625104
"0dj4xrwz","JeFEE","anger",142.703681411161
"0dj4xrwz","JeFEE","disgust",194.899956044592
"0dj4xrwz","JeFEE","sadness",132.097734736223
"0dj4xrwz","JeFEE","fear",142.239345796205
"0dj4xrwz","JeFEE","happiness",208.392511625988
"1bky7pq2","ADFES","surprise",186.739345079113
"1bky7pq2","ADFES","anger",228.411619057079
"1bky7pq2","ADFES","disgust",214.6323311526
"1bky7pq2","ADFES","sadness",153.128828190061
"1bky7pq2","ADFES","fear",167.333674493976
"1bky7pq2","ADFES","happiness",205.522577383507
"1bky7pq2","JeFEE","surprise",158.933715387718
"1bky7pq2","JeFEE","anger",238.65944710119
"1bky7pq2","JeFEE","disgust",189.858617834376
"1bky7pq2","JeFEE","sadness",99.1246929194493
"1bky7pq2","JeFEE","fear",154.818924843308
"1bky7pq2","JeFEE","happiness",129.511106167364
"1jesbvms","ADFES","surprise",177.726755580718
"1jesbvms","ADFES","anger",156.712617496721
"1jesbvms","ADFES","disgust",174.665503591275
"1jesbvms","ADFES","sadness",152.982040332002
"1jesbvms","ADFES","fear",183.529519495694
"1jesbvms","ADFES","happiness",190.50339907366
"1jesbvms","JeFEE","surprise",130.071778061772
"1jesbvms","JeFEE","anger",133.471511891428
"1jesbvms","JeFEE","disgust",116.873966982232
"1jesbvms","JeFEE","sadness",120.165254102321
"1jesbvms","JeFEE","fear",119.67012488914
"1jesbvms","JeFEE","happiness",143.502684630701
"1jtd23n7","ADFES","surprise",192.204715552176
"1jtd23n7","ADFES","anger",158.882159009303
"1jtd23n7","ADFES","disgust",217.979802998197
"1jtd23n7","ADFES","sadness",216.477380873999
"1jtd23n7","ADFES","fear",212.804178917376
"1jtd23n7","ADFES","happiness",182.182031109707
"1jtd23n7","JeFEE","surprise",191.75496773119
"1jtd23n7","JeFEE","anger",149.130777066133
"1jtd23n7","JeFEE","disgust",144.182059238232
"1jtd23n7","JeFEE","sadness",134.695782742816
"1jtd23n7","JeFEE","fear",119.635155507338
"1jtd23n7","JeFEE","happiness",146.320943872904
"1m3o7vtx","ADFES","surprise",245.663413867732
"1m3o7vtx","ADFES","anger",185.691555313242
"1m3o7vtx","ADFES","disgust",169.42124158808
"1m3o7vtx","ADFES","sadness",164.121391958669
"1m3o7vtx","ADFES","fear",236.633408867185
"1m3o7vtx","ADFES","happiness",241.698385091488
"1m3o7vtx","JeFEE","surprise",192.036277292892
"1m3o7vtx","JeFEE","anger",158.115499022266
"1m3o7vtx","JeFEE","disgust",143.683913987182
"1m3o7vtx","JeFEE","sadness",81.1075322843012
"1m3o7vtx","JeFEE","fear",162.868550796012
"1m3o7vtx","JeFEE","happiness",224.188553291802
"230qxghj","ADFES","surprise",193.296869562821
"230qxghj","ADFES","anger",189.077375245173
"230qxghj","ADFES","disgust",196.96354754475
"230qxghj","ADFES","sadness",181.608542323726
"230qxghj","ADFES","fear",210.794487943602
"230qxghj","ADFES","happiness",227.287113689622
"230qxghj","JeFEE","surprise",181.548671952031
"230qxghj","JeFEE","anger",151.41616172799
"230qxghj","JeFEE","disgust",159.457356222443
"230qxghj","JeFEE","sadness",147.04472697158
"230qxghj","JeFEE","fear",143.244613986905
"230qxghj","JeFEE","happiness",158.954025306249
"23un4xk0","ADFES","surprise",197.47133299075
"23un4xk0","ADFES","anger",139.506491620571
"23un4xk0","ADFES","disgust",175.002958640221
"23un4xk0","ADFES","sadness",154.507098660847
"23un4xk0","ADFES","fear",212.331634978559
"23un4xk0","ADFES","happiness",229.955226314691
"23un4xk0","JeFEE","surprise",155.90274662549
"23un4xk0","JeFEE","anger",208.89254942047
"23un4xk0","JeFEE","disgust",175.152374304646
"23un4xk0","JeFEE","sadness",206.792801390867
"23un4xk0","JeFEE","fear",220.931284836813
"23un4xk0","JeFEE","happiness",238.158956012993
"2bq4gp56","ADFES","surprise",238.310757200345
"2bq4gp56","ADFES","anger",220.839981761942
"2bq4gp56","ADFES","disgust",242.665698405442
"2bq4gp56","ADFES","sadness",198.738835752058
"2bq4gp56","ADFES","fear",229.840401827382
"2bq4gp56","ADFES","happiness",251.838709099292
"2bq4gp56","JeFEE","surprise",209.537388460381
"2bq4gp56","JeFEE","anger",195.642625802926
"2bq4gp56","JeFEE","disgust",187.178570195704
"2bq4gp56","JeFEE","sadness",140.157261104401
"2bq4gp56","JeFEE","fear",158.113032761101
"2bq4gp56","JeFEE","happiness",194.81759018599
"2d7emjn8","ADFES","surprise",256.871231035202
"2d7emjn8","ADFES","anger",252.930903074019
"2d7emjn8","ADFES","disgust",247.287469287059
"2d7emjn8","ADFES","sadness",256.725849623763
"2d7emjn8","ADFES","fear",258.801356270305
"2d7emjn8","ADFES","happiness",246.91603956716
"2d7emjn8","JeFEE","surprise",251.870536682088
"2d7emjn8","JeFEE","anger",248.207944308993
"2d7emjn8","JeFEE","disgust",226.684607314264
"2d7emjn8","JeFEE","sadness",238.394833580977
"2d7emjn8","JeFEE","fear",216.506343495591
"2d7emjn8","JeFEE","happiness",254.700157978268
"3nsxj3yf","ADFES","surprise",237.781011374848
"3nsxj3yf","ADFES","anger",245.873244577684
"3nsxj3yf","ADFES","disgust",249.287310976403
"3nsxj3yf","ADFES","sadness",252.556518679537
"3nsxj3yf","ADFES","fear",257.277257944237
"3nsxj3yf","ADFES","happiness",243.534417506741
"3nsxj3yf","JeFEE","surprise",266.059900081744
"3nsxj3yf","JeFEE","anger",230.687933286005
"3nsxj3yf","JeFEE","disgust",261.183588887708
"3nsxj3yf","JeFEE","sadness",220.600809254812
"3nsxj3yf","JeFEE","fear",225.564733017785
"3nsxj3yf","JeFEE","happiness",237.628935905909
"473syksy","ADFES","surprise",241.683609486633
"473syksy","ADFES","anger",248.046990981086
"473syksy","ADFES","disgust",240.96156326315
"473syksy","ADFES","sadness",223.62753712732
"473syksy","ADFES","fear",223.39240207915
"473syksy","ADFES","happiness",251.314543802873
"473syksy","JeFEE","surprise",241.975958002063
"473syksy","JeFEE","anger",237.931759021721
"473syksy","JeFEE","disgust",193.753763115268
"473syksy","JeFEE","sadness",108.511022970181
"473syksy","JeFEE","fear",212.815936661223
"473syksy","JeFEE","happiness",221.192232540997
"4ho7pfhd","ADFES","surprise",222.119480512544
"4ho7pfhd","ADFES","anger",222.610885163614
"4ho7pfhd","ADFES","disgust",244.298253728627
"4ho7pfhd","ADFES","sadness",237.10093557909
"4ho7pfhd","ADFES","fear",221.939169362691
"4ho7pfhd","ADFES","happiness",232.892475587634
"4ho7pfhd","JeFEE","surprise",180.782252339208
"4ho7pfhd","JeFEE","anger",163.565504215629
"4ho7pfhd","JeFEE","disgust",186.193661799894
"4ho7pfhd","JeFEE","sadness",229.00638946549
"4ho7pfhd","JeFEE","fear",170.043860764212
"4ho7pfhd","JeFEE","happiness",188.443835454829
"4ovd9i0b","ADFES","surprise",211.600076468886
"4ovd9i0b","ADFES","anger",193.429240558234
"4ovd9i0b","ADFES","disgust",207.624904982974
"4ovd9i0b","ADFES","sadness",213.180833859844
"4ovd9i0b","ADFES","fear",237.659052575538
"4ovd9i0b","ADFES","happiness",214.560025621399
"4ovd9i0b","JeFEE","surprise",231.763883949504
"4ovd9i0b","JeFEE","anger",208.733522221986
"4ovd9i0b","JeFEE","disgust",225.655926527643
"4ovd9i0b","JeFEE","sadness",218.690162725984
"4ovd9i0b","JeFEE","fear",177.94230779222
"4ovd9i0b","JeFEE","happiness",206.463000585796
"4ovdiwho","ADFES","surprise",230.941991784136
"4ovdiwho","ADFES","anger",207.193018902642
"4ovdiwho","ADFES","disgust",230.915391380904
"4ovdiwho","ADFES","sadness",202.764262317004
"4ovdiwho","ADFES","fear",243.925210186876
"4ovdiwho","ADFES","happiness",233.910178999106
"4ovdiwho","JeFEE","surprise",136.632287627761
"4ovdiwho","JeFEE","anger",176.03373147714
"4ovdiwho","JeFEE","disgust",169.744975929276
"4ovdiwho","JeFEE","sadness",162.393925462731
"4ovdiwho","JeFEE","fear",207.478292200665
"4ovdiwho","JeFEE","happiness",196.458960277061
"60jre6xi","ADFES","surprise",147.881244574385
"60jre6xi","ADFES","anger",117.029803045835
"60jre6xi","ADFES","disgust",137.375486590592
"60jre6xi","ADFES","sadness",116.484290661536
"60jre6xi","ADFES","fear",143.659366675058
"60jre6xi","ADFES","happiness",153.655721498559
"60jre6xi","JeFEE","surprise",114.750369218396
"60jre6xi","JeFEE","anger",130.323737781789
"60jre6xi","JeFEE","disgust",136.978070458871
"60jre6xi","JeFEE","sadness",111.592978330934
"60jre6xi","JeFEE","fear",129.080283653501
"60jre6xi","JeFEE","happiness",129.527216408475
"63q8b4gk","ADFES","surprise",248.061535071566
"63q8b4gk","ADFES","anger",238.067834838409
"63q8b4gk","ADFES","disgust",244.488974641031
"63q8b4gk","ADFES","sadness",242.985833772576
"63q8b4gk","ADFES","fear",263.01149522076
"63q8b4gk","ADFES","happiness",241.573578120038
"63q8b4gk","JeFEE","surprise",234.343372973399
"63q8b4gk","JeFEE","anger",224.98142091956
"63q8b4gk","JeFEE","disgust",249.246954938041
"63q8b4gk","JeFEE","sadness",205.545608621654
"63q8b4gk","JeFEE","fear",182.004269474921
"63q8b4gk","JeFEE","happiness",220.219963470192
