"subject","video_set","intensity"
"01dkf6na","ADFES",175.725864608608
"01dkf6na","JeFEE",152.665311468616
"02rvvdck","ADFES",244.020885884764
"02rvvdck","JeFEE",180.433692441705
"05vna3n7","ADFES",206.941119658374
"05vna3n7","JeFEE",175.200684431459
"0dj4xrwz","ADFES",195.509627195256
"0dj4xrwz","JeFEE",169.264947039879
"1bky7pq2","ADFES",192.628062559389
"1bky7pq2","JeFEE",161.817750708901
"1jesbvms","ADFES",172.686639261678
"1jesbvms","JeFEE",127.292553426266
"1jtd23n7","ADFES",196.75504474346
"1jtd23n7","JeFEE",147.619947693102
"1m3o7vtx","ADFES",207.204899447733
"1m3o7vtx","JeFEE",160.333387779076
"230qxghj","ADFES",199.837989384949
"230qxghj","JeFEE",156.9442593612
"23un4xk0","ADFES",184.795790534273
"23un4xk0","JeFEE",200.97178543188
"2bq4gp56","ADFES",230.372397341077
"2bq4gp56","JeFEE",180.90774475175
"2d7emjn8","ADFES",253.255474809585
"2d7emjn8","JeFEE",239.39407056003
"3nsxj3yf","ADFES",247.718293509908
"3nsxj3yf","JeFEE",240.287650072327
"473syksy","ADFES",238.171107790035
"473syksy","JeFEE",202.696778718576
"4ho7pfhd","ADFES",230.160199989033
"4ho7pfhd","JeFEE",186.33925067321
"4ovd9i0b","ADFES",213.009022344479
"4ovd9i0b","JeFEE",211.541467300522
"4ovdiwho","ADFES",224.941675595111
"4ovdiwho","JeFEE",174.790362162439
"60jre6xi","ADFES",136.014318840994
"60jre6xi","JeFEE",125.375442641994
"63q8b4gk","ADFES",246.364875277397
"63q8b4gk","JeFEE",219.390265066294
"79o97uw1","ADFES",199.45580925011
"79o97uw1","JeFEE",187.498027732393
"7lgboipc","ADFES",198.755669375482
"7lgboipc","JeFEE",165.067461800437
"8jun19d5","ADFES",145.051331162838
"8jun19d5","JeFEE",125.906511711851
"8u9fcv0x","ADFES",224.984912029705
"8u9fcv0x","JeFEE",193.849671353093
"8um8sps9","ADFES",191.34827278928
"8um8sps9","JeFEE",169.351131490568
"8y0jbvqm","ADFES",240.048123155926
"8y0jbvqm","JeFEE",195.232902086417
"8zijzjdb","ADFES",193.117248818303
"8zijzjdb","JeFEE",138.519442262884
"92n34v9a","ADFES",215.493991303491
"92n34v9a","JeFEE",178.635439904218
"92pvi1pq","ADFES",181.857351241829
"92pvi1pq","JeFEE",168.852185681534
"951c6gi6","ADFES",144.654058943228
"951c6gi6","JeFEE",131.258398851976
"988oxs17","ADFES",187.726438482077
"988oxs17","JeFEE",140.198862047046
"9p4umq2j","ADFES",234.91489575505
"9p4umq2j","JeFEE",219.3981820403
"9wp4tjla","ADFES",242.341664033344
"9wp4tjla","JeFEE",222.281424877143
"9yltrizp","ADFES",202.609956961945
"9yltrizp","JeFEE",157.107289102518
"aaal34oe","ADFES",197.278495812699
"aaal34oe","JeFEE",190.105786207028
"aqsvfz9l","ADFES",228.118383145427
"aqsvfz9l","JeFEE",176.666426838625
"avr4ulis","ADFES",225.570985956594
"avr4ulis","JeFEE",87.0015348392913
"b3e2ff37","ADFES",216.382924582971
"b3e2ff37","JeFEE",206.064665161497
"bd1hytn7","ADFES",166.132369968579
"bd1hytn7","JeFEE",159.232533896615
"bs077ax2","ADFES",217.586704387307
"bs077ax2","JeFEE",161.528325930269
"bywpsp3z","ADFES",178.843063129487
"bywpsp3z","JeFEE",135.136597564421
"ceeg9oyy","ADFES",200.278289870497
"ceeg9oyy","JeFEE",186.400960639754
"cru2t1ba","ADFES",225.314352595866
"cru2t1ba","JeFEE",217.37137077106
"cwu5v0z3","ADFES",226.312604325881
"cwu5v0z3","JeFEE",176.232691144095
"cyr153x5","ADFES",226.802368958267
"cyr153x5","JeFEE",187.145987426053
"d86bycx0","ADFES",196.743700437317
"d86bycx0","JeFEE",193.362544714432
"ddhzvuk9","ADFES",202.187239070599
