file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.started,p_port_3.stopped,secondary.started,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,155.65129939999315,155.65129939999315,0.5675596999935806,158.4483426999941,0.57547519999207,0.0007934999885037541,0.0007934999885037541,164.39883869999903,164.39883869999903,0.0161581999855116,-50.0,-81.0,1,0,0,8.428552199999103,'click_1',3.170000854879618e-05,172.82042619999265,0.0063415000040549785,173.32230010000058,173.32230010000058,173.32230010000058,173.32230010000058,0.008242799987783656,0.008242799987783656,0.008242799987783656,-22.0,107.0,1,0,0,13.583302899991395,'click_2',1.659998088143766e-05,0.015258400002494454,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,0.14488330000313,188.55899910000153,0.15216890000738204,0.0006820000126026571,0.0006820000126026571,194.54315109999152,194.54315109999152,0.016465500026242808,116.0,73.0,1,0,0,4.149613099987619,'click_1',1.3999990187585354e-05,198.69323919998715,0.015430100000230595,,199.1951490000065,199.1951490000065,199.1951490000065,0.001501599996117875,0.017363299994030967,0.001501599996117875,59.0,83.0,1,0,0,2.1241007999924477,'click_2',1.3999990187585354e-05,0.015417999995406717,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,0.13704789997427724,202.94867369998246,0.14440579997608438,0.0007213999924715608,0.0007213999924715608,208.92485209999722,208.92485209999722,0.016508600005181506,-23.0,153.0,1,0,0,2.7935843000013847,'click_1',1.4099990949034691e-05,211.7192138999817,0.015786999982083216,,212.22114069998497,212.22114069998497,212.22114069998497,0.0016158999933395535,0.017698299983749166,0.0016158999933395535,-124.0,85.0,1,0,0,3.1796999000071082,'click_2',1.6900012269616127e-05,0.014565100020263344,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,0.14995390002150089,217.0427712999808,0.15729310002643615,0.0007171999895945191,0.0007171999895945191,223.22311930000433,223.22311930000433,0.016501399979460984,52.0,-188.0,1,0,0,5.671784000005573,'click_1',1.5700003132224083e-05,228.8954953000066,0.015551999997114763,,229.39735839999048,229.39735839999048,229.39735839999048,0.001498800003901124,0.017439299990655854,0.001498800003901124,24.0,-152.0,1,0,0,7.328100299986545,'click_2',1.3899989426136017e-05,0.015684599988162518,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,0.13822230001096614,238.3558927999984,0.14554890000727028,0.0007156999781727791,0.0007156999781727791,244.3304027999984,244.3304027999984,0.016385599999921396,-20.0,-129.0,1,0,0,4.499840300006326,'click_1',1.4099990949034691e-05,248.8309706999862,0.015529799973592162,,249.33300660000532,249.33300660000532,249.33300660000532,0.0016505999956279993,0.01757459997315891,0.0016505999956279993,-121.0,-77.0,1,0,0,3.1618880000023637,'click_2',1.4099990949034691e-05,0.015862600004766136,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,0.1472795000008773,254.1343963999825,0.15465529999346472,0.0007252999930642545,0.0007252999930642545,260.1182543000032,260.1182543000032,0.01639849998173304,-128.0,80.0,1,0,0,2.8439106000005268,'click_1',1.4299992471933365e-05,262.96281029999955,0.015479099994990975,,263.4645879000018,263.4645879000018,263.4645879000018,0.0013808000076096505,0.017323300009593368,0.0013808000076096505,-79.0,127.0,1,0,0,1.4232591000036336,'click_2',1.3899989426136017e-05,0.014493800001218915,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,80.66786399998819,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JF2_Disgust.mp4,disgusted,subtle,femmina,6,10,1646,926,10,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,9,,,0.1557879000029061,355.28001059999224,0.1629151999950409,0.000725900026736781,0.000725900026736781,365.66037110000616,365.66037110000616,0.01653170000645332,-119.0,84.0,1,0,0,4.2496593999967445,'click_1',1.4199991710484028e-05,369.9107490000024,0.015372900001239032,,370.41290150000714,370.41290150000714,370.41290150000714,0.0015256000042427331,0.01758499999414198,0.0015256000042427331,-53.0,82.0,1,0,0,5.672730899997987,'click_2',1.789999078027904e-05,0.015156500012381002,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JM2_Sadness.mp4,sad,subtle,maschio,8,10,1646,926,20,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,19,,,0.14463769999565557,377.7227217000036,0.15196769998874515,0.000665700004901737,0.000665700004901737,388.30838430000586,388.30838430000586,0.016506000014487654,-32.0,-191.0,1,0,0,1.9738115999789443,'click_1',1.4099990949034691e-05,390.2826049999858,0.015455300017492846,,390.78462940000463,390.78462940000463,390.78462940000463,0.0016673000063747168,0.017491200007498264,0.0016673000063747168,-137.0,-22.0,1,0,0,3.3961917999840807,'click_2',1.4300021575763822e-05,0.015563600027235225,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
