"file","file_emotion","file_emotion_level","file_gender","file_id","file_duration","size_w","size_h","trigger","loop_practice_full.thisRepN","loop_practice_full.thisTrialN","loop_practice_full.thisN","loop_practice_full.thisIndex","loop_istr_practice.thisRepN","loop_istr_practice.thisTrialN","loop_istr_practice.thisN","loop_istr_practice.thisIndex","tuto.thisRepN","tuto.thisTrialN","tuto.thisN","tuto.thisIndex","loop_practice.thisRepN","loop_practice.thisTrialN","loop_practice.thisN","loop_practice.thisIndex","exp_blocks.thisRepN","exp_blocks.thisTrialN","exp_blocks.thisN","exp_blocks.thisIndex","istr_1.thisRepN","istr_1.thisTrialN","istr_1.thisN","istr_1.thisIndex","istr_2.thisRepN","istr_2.thisTrialN","istr_2.thisN","istr_2.thisIndex","exp.thisRepN","exp.thisTrialN","exp.thisN","exp.thisIndex","img_tutorial.started","key_resp.started","p_port.started","mov_target.started","p_port.stopped","p_port_2.started","primary.started","img_primary_wheel.started","click_1.started","p_port_2.stopped","primary.x","primary.y","primary.leftButton","primary.midButton","primary.rightButton","primary.time","primary.clicked_name","p_port_4.started","txt_iwi.started","p_port_4.stopped","txt_iwi.stopped","p_port_3.started","secondary.started","img_secondary_wheel.started","click_2.started","primary_pos.started","p_port_3.stopped","secondary.x","secondary.y","secondary.leftButton","secondary.midButton","secondary.rightButton","secondary.time","secondary.clicked_name","p_port_5.started","p_port_5.stopped","kb_end_practice.keys","kb_end_practice.rt","participant","session","group","age","sex","education","practice","experimenter","date","expName","psychopyVersion","frameRate","X"
"stimoli/03.practice/F04-Surprise-Face Forward.mp4","surprise","full","femmina",9,6,700,700,61,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.263648400025,165.263648400025,0.533450799994171,170.026226999995,0.541285999992397,0.000812100013718009,0.000812100013718009,176.145327200007,176.145327200007,0.00945930002490059,40,-180,1,0,0,6.86976899998263,"'click_1'",1.78999616764486e-05,183.011581300001,0.00407709996215999,183.516031900013,-0.000518999993801117,-0.000518999993801117,183.516031900013,183.516031900013,183.516031900013,0.00851620000321418,37,-172,1,0,0,10.0847030000295,"'click_2'",1.66000099852681e-05,0.00844120001420379,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"stimoli/03.practice/F04-Neutral-Face Forward.mp4","neutral","full","femmina",9,6,700,700,62,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143790300004184,195.243940400018,0.151072799984831,0.000785099982749671,0.000785099982749671,201.19599680003,201.19599680003,0.00969709997298196,85,-126,1,0,0,4.15244209999219,"'click_1'",1.51999993249774e-05,205.349270600011,0.00890780001645908,NA,0.00262310000834987,0.00262310000834987,205.852215500025,205.852215500025,205.852215500025,0.0118342000059783,91,-127,1,0,0,5.09770640003262,"'click_2'",1.48999970406294e-05,0.00879210000857711,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"stimoli/03.practice/F04-Sadness-Face Forward.mp4","sadness","full","femmina",9,6,700,700,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144066700013354,212.592931499996,0.151354199973866,0.000774100015405566,0.000774100015405566,218.545924200036,218.545924200036,0.00970510003389791,-37,-138,1,0,0,5.09783520002384,"'click_1'",1.45999947562814e-05,223.644431599998,0.00882540002930909,NA,0.00237729999935254,0.00237729999935254,224.147225300025,224.147225300025,224.147225300025,0.011619700002484,-87,-62,1,0,0,4.0524948000093,"'click_2'",2.24999967031181e-05,0.00870710000162944,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"stimoli/03.practice/F04-Joy-Face Forward.mp4","joy","full","femmina",9,6,700,700,59,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150232399988454,229.848891200032,0.157613399962429,0.000855799997225404,0.000855799997225404,235.805647300032,235.805647300032,0.00977099995361641,128,74,1,0,0,3.62915499997325,"'click_1'",1.54000008478761e-05,239.435449899989,0.00873260002117604,NA,0.00231880001956597,0.00231880001956597,239.938210599998,239.938210599998,239.938210599998,0.0115176000399515,141,32,1,0,0,3.31844679999631,"'click_2'",2.2500054910779e-05,0.0082852000487037,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"stimoli/03.practice/F04-Disgust-Face Forward.mp4","disgust","full","femmina",9,6,700,700,58,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141300600022078,244.896943600033,0.148627100046724,0.000827700016088784,0.000827700016088784,250.851312500017,250.851312500017,0.00973360001808032,-32,179,1,0,0,3.39817369997036,"'click_1'",1.63999502547085e-05,254.250101800018,0.00876179995248094,NA,0.00263249996351078,0.00263249996351078,254.753158900014,254.753158900014,254.753158900014,0.0118191999499686,-78,127,1,0,0,2.61516639997717,"'click_2'",1.40999909490347e-05,0.00823660002788529,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"stimoli/03.practice/F04-Anger-Face Forward.mp4","anger","full","femmina",9,6,700,700,57,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147403399983887,259.014983100002,0.154919900000095,0.000815400038845837,0.000815400038845837,264.963554200018,264.963554200018,0.00975750002544373,-130,95,1,0,0,4.8364366000169,"'click_1'",1.51999993249774e-05,269.800337199995,0.0084826999809593,NA,0.00207099999533966,0.00207099999533966,270.30316760001,270.30316760001,270.30316760001,0.0113409999758005,-66,-115,1,0,0,2.31260580004891,"'click_2'",1.49999978020787e-05,0.00878739997278899,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"","","","",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"n",20.5684624999994,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"stimoli/02.subtle/JM2_Anger.mp4","angry","subtle","maschio",8,10,1646,926,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,NA,NA,0.14468929998111,300.538184300007,0.151995599968359,0.000685600040014833,0.000685600040014833,311.454210199998,311.454210199998,0.00990100001217797,-32,-159,1,0,0,3.73000929999398,"'click_1'",1.56000023707747e-05,315.18457360001,0.00839029997587204,NA,0.00170749996323138,0.00170749996323138,315.687295000011,315.687295000011,315.687295000011,0.0111063999938779,-28,150,1,0,0,3.73056160000851,"'click_2'",1.51999993249774e-05,0.00849009997909889,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
"stimoli/02.subtle/JM1_Neutral.mp4","neutral","subtle","maschio",7,10,1646,926,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,26,NA,NA,0.149642099975608,321.066434699984,0.156838099996094,0.000747299985960126,0.000747299985960126,331.417675200035,331.417675200035,0.00973699998576194,-128,92,1,0,0,2.49329910002416,"'click_1'",1.54000008478761e-05,333.911605400033,0.00874069996643811,NA,0.00212469999678433,0.00212469999678433,334.414482499997,334.414482499997,334.414482499997,0.0116518000140786,-84,137,1,0,0,2.48350780003238,"'click_2'",1.479999627918e-05,0.00861149997217581,"",NA,13,1,"control",25,"f",18,1,"ale_ila","2024-04-22_17h08.40.556","CPO_EEG","2022.2.1",99.8271991041581,NA
