file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,p_port_3.started,secondary.started,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,txt_iwi.stopped,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,133.24576870002784,133.24576870002784,0.3738458000589162,147.60025519994088,0.3813020000234246,0.000699399970471859,0.000699399970471859,153.57115039997734,153.57115039997734,0.016443299944512546,-45.0,197.0,1,0,0,6.691308900015429,'click_1',3.0399998649954796e-05,160.26329609996174,0.015501799993216991,0.001295299967750907,0.001295299967750907,160.765085299965,160.765085299965,160.765085299965,0.017312000039964914,-82.0,120.0,1,0,0,12.998028200003318,'click_2',1.619989052414894e-05,0.015294099925085902,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,0.137699699960649,175.3931475999998,0.14496259996667504,0.0006972000701352954,0.0006972000701352954,181.56961979996413,181.56961979996413,0.016446400084532797,32.0,-205.0,1,0,0,3.78002629999537,'click_1',1.4199991710484028e-05,185.35040090000257,0.015664100064896047,0.0014463000698015094,0.0014463000698015094,185.852208300028,185.852208300028,185.852208300028,0.017508600023575127,32.0,-198.0,1,0,0,4.283299699891359,'click_2',1.6600009985268116e-05,0.014662200002931058,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,0.13564879994373769,191.76324440003373,0.14287779992446303,0.0007405000505968928,0.0007405000505968928,197.73907979996875,197.73907979996875,0.01643820002209395,-55.0,-211.0,1,0,0,3.3123549000592902,'click_1',1.4399993233382702e-05,201.05198620003648,0.015430300030857325,0.001415099948644638,0.001415099948644638,201.55379160004668,201.55379160004668,201.55379160004668,0.017266799928620458,-34.0,-200.0,1,0,0,1.4889586999779567,'click_2',1.3999990187585354e-05,0.015615799929946661,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,0.13496990001294762,204.66996400000062,0.14227690000552684,0.0007298999698832631,0.0007298999698832631,210.6471105000237,210.6471105000237,0.016498100012540817,187.0,119.0,1,0,0,12.314665599958971,'click_1',1.4599994756281376e-05,222.96248899993952,0.015689700026996434,0.00177950004581362,0.00177950004581362,223.46456580003724,223.46456580003724,223.46456580003724,0.01781160000246018,157.0,103.0,1,0,0,3.5966130999149755,'click_2',1.4399993233382702e-05,0.015616900054737926,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,0.13652659999206662,228.68990009999834,0.143933100043796,0.0006830999627709389,0.0006830999627709389,234.6655876999721,234.6655876999721,0.01645769993774593,-3.0,1.0,1,0,0,6.30593399994541,'click_1',1.3999990187585354e-05,240.97201120003592,0.015416400041431189,0.0013561999658122659,0.0013561999658122659,241.47394719999284,241.47394719999284,241.47394719999284,0.017349799978546798,0.0,0.0,1,0,0,1.9569406000664458,'click_2',1.4699995517730713e-05,0.015390900080092251,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,0.136852000025101,245.05987869994715,0.14415539999026805,0.0007224999135360122,0.0007224999135360122,251.036192700034,251.036192700034,0.016474399948492646,-162.0,119.0,1,0,0,3.34484519995749,'click_1',1.3899989426136017e-05,254.3815578999929,0.015468599973246455,0.001550300046801567,0.001550300046801567,254.88357529998757,254.88357529998757,254.88357529998757,0.017524900031276047,-70.0,120.0,1,0,0,2.509124999982305,'click_2',1.4899997040629387e-05,0.015500400098972023,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,14.152560799964704,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JF2_Fear.mp4,fear,subtle,femmina,6,10,1646,926,2,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,1,,,0.1436747000552714,279.5233892999822,0.15089380007702857,0.0007538999198004603,0.0007538999198004603,289.8963353999425,289.8963353999425,0.016306999954394996,3.0,4.0,1,0,0,8.196615900029428,'click_1',1.4099990949034691e-05,298.0934050999349,0.014849700033664703,0.0008838999783620238,0.0008838999783620238,298.59529730002396,298.59529730002396,298.59529730002396,0.016767699969932437,0.0,0.0,1,0,0,2.5757912999251857,'click_2',1.4099990949034691e-05,0.015239499974995852,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/M02-Sadness-Face Forward.mp4,sad,full,maschio,3,6,720,576,47,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,46,,,0.1373589999275282,302.80104269995354,0.14469789993017912,0.0006331999320536852,0.0006331999320536852,308.4251255999552,308.4251255999552,0.01649029995314777,-47.0,-192.0,1,0,0,5.804783900035545,'click_1',1.4299992471933365e-05,314.23054419993423,0.015655600000172853,0.001554999966174364,0.001554999966174364,314.73240420001093,314.73240420001093,314.73240420001093,0.017539599910378456,-87.0,-117.0,1,0,0,8.314652299974114,'click_2',1.5600002370774746e-05,0.015370499924756587,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
