Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,face1,face2,ANSWER,blockNum,inclusionCheck,pairName,pairType,newBin
1,1656082790047,24/06/2022 14:59:50,1656082788027,2,24/06/2022 16:59:48,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1656082824917,24/06/2022 15:00:24,1656082822901,2,24/06/2022 17:00:22,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,34839,,,,,0,1,0,,,,,,Instructions,,,,,,,,
3,1656082825346,24/06/2022 15:00:25,1656082823337,2,24/06/2022 17:00:23,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,7,1,1,Cross,fixation,fixation,445.6800000000003,,,,,0,1,0,,,,,1,FaceBlock,F56_562.png,F57_575.png,DIFFERENT PEOPLE,,test,F56_562.pngF57_575.png,diff,10
4,1656082830334,24/06/2022 15:00:30,1656082828341,2,24/06/2022 17:00:28,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,7,1,2,TwoFaces,TIMER,timelimit_screen,5001.580000000002,,,,,0,1,0,,,1,,1,FaceBlock,F56_562.png,F57_575.png,DIFFERENT PEOPLE,,test,F56_562.pngF57_575.png,diff,10
5,1656082835481,24/06/2022 15:00:35,1656082833491,2,24/06/2022 17:00:33,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,7,1,3,SimilarityResponse,Zone1,response_button_text,5127,,,Di persone diverse,1,0,1,0,,,,,1,FaceBlock,F56_562.png,F57_575.png,DIFFERENT PEOPLE,,test,F56_562.pngF57_575.png,diff,10
6,1656082835933,24/06/2022 15:00:35,1656082833933,2,24/06/2022 17:00:33,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,14,2,1,Cross,fixation,fixation,445.29999999999563,,,,,0,1,0,,,,,1,FaceBlock,00002_931230_fb.png,00708_941205_fa.png,DIFFERENT PEOPLE,,test,00002_931230_fb.png00708_941205_fa.png,diff,9
7,1656082840929,24/06/2022 15:00:40,1656082838937,2,24/06/2022 17:00:38,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,14,2,2,TwoFaces,TIMER,timelimit_screen,5001.220000000001,,,,,0,1,0,,,1,,1,FaceBlock,00002_931230_fb.png,00708_941205_fa.png,DIFFERENT PEOPLE,,test,00002_931230_fb.png00708_941205_fa.png,diff,9
8,1656082842979,24/06/2022 15:00:42,1656082840979,2,24/06/2022 17:00:40,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,14,2,3,SimilarityResponse,Zone1,response_button_text,2021,,,Di persone diverse,1,0,1,0,,,,,1,FaceBlock,00002_931230_fb.png,00708_941205_fa.png,DIFFERENT PEOPLE,,test,00002_931230_fb.png00708_941205_fa.png,diff,9
9,1656082843408,24/06/2022 15:00:43,1656082841420,2,24/06/2022 17:00:41,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,35,3,1,Cross,fixation,fixation,445.1399999999994,,,,,0,1,0,,,,,1,FaceBlock,F60_609.png,F60_608.png,SAME PERSON,,test,F60_609.pngF60_608.png,same,6
10,1656082848405,24/06/2022 15:00:48,1656082846421,2,24/06/2022 17:00:46,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,35,3,2,TwoFaces,TIMER,timelimit_screen,5001.639999999999,,,,,0,1,0,,,1,,1,FaceBlock,F60_609.png,F60_608.png,SAME PERSON,,test,F60_609.pngF60_608.png,same,6
11,1656082850765,24/06/2022 15:00:50,1656082848772,2,24/06/2022 17:00:48,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,35,3,3,SimilarityResponse,Zone2,response_button_text,2338,,,Della stessa persona,1,0,1,0,,,,,1,FaceBlock,F60_609.png,F60_608.png,SAME PERSON,,test,F60_609.pngF60_608.png,same,6
12,1656082851204,24/06/2022 15:00:51,1656082849212,2,24/06/2022 17:00:49,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,3,4,1,Cross,fixation,fixation,444.4400000000023,,,,,0,1,0,,,,,1,FaceBlock,00081_931230_fb.png,00772_960530_fa.png,DIFFERENT PEOPLE,,test,00081_931230_fb.png00772_960530_fa.png,diff,1
13,1656082856199,24/06/2022 15:00:56,1656082854215,2,24/06/2022 17:00:54,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,3,4,2,TwoFaces,TIMER,timelimit_screen,5002.200000000004,,,,,0,1,0,,,1,,1,FaceBlock,00081_931230_fb.png,00772_960530_fa.png,DIFFERENT PEOPLE,,test,00081_931230_fb.png00772_960530_fa.png,diff,1
14,1656082859173,24/06/2022 15:00:59,1656082857187,2,24/06/2022 17:00:57,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,3,4,3,SimilarityResponse,Zone1,response_button_text,2952,,,Di persone diverse,1,0,1,0,,,,,1,FaceBlock,00081_931230_fb.png,00772_960530_fa.png,DIFFERENT PEOPLE,,test,00081_931230_fb.png00772_960530_fa.png,diff,1
15,1656082859615,24/06/2022 15:00:59,1656082857630,2,24/06/2022 17:00:57,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,31,5,1,Cross,fixation,fixation,444.9400000000023,,,,,0,1,0,,,,,1,FaceBlock,M3_33.png,M3_36.png,SAME PERSON,,test,M3_33.pngM3_36.png,same,16
16,1656082864620,24/06/2022 15:01:04,1656082862635,2,24/06/2022 17:01:02,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,31,5,2,TwoFaces,TIMER,timelimit_screen,5002.259999999995,,,,,0,1,0,,,1,,1,FaceBlock,M3_33.png,M3_36.png,SAME PERSON,,test,M3_33.pngM3_36.png,same,16
17,1656082866997,24/06/2022 15:01:06,1656082865012,2,24/06/2022 17:01:05,87583,6,task-7ttb,,22764323,ium1nfma,6679828,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 101.0,1920x1080,1920x955,,OFMT full task,5,Spreadsheet1,Spreadsheet1,31,5,3,SimilarityResponse,Zone2,response_button_text,2333,,,Della stessa persona,1,0,1,0,,,,,1,FaceBlock,M3_33.png,M3_36.png,SAME PERSON,,test,M3_33.pngM3_36.png,same,16
