Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1705665545706,19/01/2024 11:59:05,1705665545916,1,19/01/2024 12:59:05,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1920x955,,,,Generic Demographics & Contact Info,2,No,BEGIN QUESTIONNAIRE,
2,1705665570604,19/01/2024 11:59:30,1705665570901,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,response-3,13_mbs
3,1705665570705,19/01/2024 11:59:30,1705665570902,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,gender,Donna
4,1705665570705,19/01/2024 11:59:30,1705665570902,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,gender-quantised,1
5,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,gender-text,
6,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,DoB-day,7
7,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,DoB-month,0
8,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,DoB-year,27
9,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,Country,italia
10,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,Country-mixed,
11,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,response-1,Laurea triennale
12,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,response-1-quantised,2
13,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,response-1-text,
14,1705665570705,19/01/2024 11:59:30,1705665570903,1,19/01/2024 12:59:30,87583,8,questionnaire-n4ps,,34327048,70ielom3,10143569,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1903x955,,,,Generic Demographics & Contact Info,2,No,respondent-email,
