Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;counterbalance-nev8;checkpoint-hsvv;checkpoint-txsb;checkpoint-9u81;checkpoint-xbnd;Randomise questionnaire elements?;Question Key;Response
1;1684314578426;17/05/2023 09:09:38;1684314578307;2;17/05/2023 11:09:38;132490;1;questionnaire-6tk4;;29566632;fw5u9zci;8794561;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 112.0;1600x900;1600x734;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684314595565;17/05/2023 09:09:55;1684314595485;2;17/05/2023 11:09:55;132490;1;questionnaire-6tk4;;29566632;fw5u9zci;8794561;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 112.0;1600x900;1600x734;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;no
3;1684314595655;17/05/2023 09:09:55;1684314595491;2;17/05/2023 11:09:55;132490;1;questionnaire-6tk4;;29566632;fw5u9zci;8794561;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 112.0;1600x900;1600x734;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;17184
1;1694258593483;09/09/2023 11:23:13;1694258593269;2;09/09/2023 13:23:13;132490;1;questionnaire-6tk4;;31604064;sn8nrfz7;9343271;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 116.0.1938.69;1536x864;1528x708;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1694258685588;09/09/2023 11:24:45;1694258685426;2;09/09/2023 13:24:45;132490;1;questionnaire-6tk4;;31604064;sn8nrfz7;9343271;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 116.0.1938.69;1536x864;1528x708;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Credo che l'esperimento voglia indagare su quanto incidano le distorsioni del viso o i difetti sulla valutazione e la compresione delle emozioni da parte degli altri. 
3;1694258685932;09/09/2023 11:24:45;1694258685428;2;09/09/2023 13:24:45;132490;1;questionnaire-6tk4;;31604064;sn8nrfz7;9343271;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 116.0.1938.69;1536x864;1528x708;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;92159
1;1684319246649;17/05/2023 10:27:26;1684319246974;2;17/05/2023 12:27:26;132490;1;questionnaire-6tk4;;29568980;q1oodaav;8794917;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684319368015;17/05/2023 10:29:28;1684319368380;2;17/05/2023 12:29:28;132490;1;questionnaire-6tk4;;29568980;q1oodaav;8794917;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;"sì, circa.
L'ipotesi che si prefigge di testare questo esperimento riguarda il riconoscimento delle emozioni sulla base dell'attivazione della propria muscolatura facciale."
3;1684319368117;17/05/2023 10:29:28;1684319368383;2;17/05/2023 12:29:28;132490;1;questionnaire-6tk4;;29568980;q1oodaav;8794917;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;121409
1;1684317905770;17/05/2023 10:05:05;1684317905642;2;17/05/2023 12:05:05;132490;1;questionnaire-6tk4;;29567742;ekzdbbeg;8794979;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x937;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
