Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;counterbalance-nev8;checkpoint-hsvv;checkpoint-txsb;checkpoint-9u81;checkpoint-xbnd;Spreadsheet;Current Spreadsheet;Trial Number;Display;Screen;Screen ID;Screen Counter;Response Type;Response;Onset Time;Clock Time;Reaction Time;Absolute Onset Time;Absolute Clock Time;Absolute Reaction Time;Correct;Response Onset;Response Duration;Proportion;Tag;Component Name;Object Name;Object Number;Object ID;Spreadsheet: display;Manipulation: Spreadsheet
1;1683988339850;13/05/2023 14:32:19;1683995539850;2;13/05/2023 18:32:19;132490;1;task-gtxd;;29496432;2zr48l9f;8774553;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1707x812;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1683988344636;13/05/2023 14:32:24;1683995544636;2;13/05/2023 18:32:24;132490;1;task-gtxd;;29496432;2zr48l9f;8774553;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1707x812;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;4807.2009997138975;4798.355;4807.2009997138975;4807.2009997138975;4798.355;4807.2009997138975;1;4807.2009997138975;0;0;;Click To Continue;Continue Button;;object-4;Bye;
3;1683988344637;13/05/2023 14:32:24;1683995544637;2;13/05/2023 18:32:24;132490;1;task-gtxd;;29496432;2zr48l9f;8774553;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1707x812;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1683992778684;13/05/2023 15:46:18;1683999978684;2;13/05/2023 19:46:18;132490;1;task-gtxd;;29496942;gmeofvtq;8774758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1683992780014;13/05/2023 15:46:20;1683999980014;2;13/05/2023 19:46:20;132490;1;task-gtxd;;29496942;gmeofvtq;8774758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;1345.211999988079;1333.2720000000002;1345.211999988079;1345.211999988079;1333.2720000000002;1345.211999988079;1;1345.211999988079;0;0;;Click To Continue;Continue Button;;object-4;Bye;
3;1683992780017;13/05/2023 15:46:20;1683999980017;2;13/05/2023 19:46:20;132490;1;task-gtxd;;29496942;gmeofvtq;8774758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1684005119552;13/05/2023 19:11:59;1684012319552;2;13/05/2023 23:11:59;132490;1;task-gtxd;;29498186;znwwesaa;8775149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1280x648;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1684005122396;13/05/2023 19:12:02;1684012322396;2;13/05/2023 23:12:02;132490;1;task-gtxd;;29498186;znwwesaa;8775149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1280x648;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;2868.0129999821183;2864.8549999999996;2868.0129999821183;2868.0129999821183;2864.8549999999996;2868.0129999821183;1;2868.0129999821183;0;0;;Click To Continue;Continue Button;;object-4;Bye;
3;1684005122400;13/05/2023 19:12:02;1684012322400;2;13/05/2023 23:12:02;132490;1;task-gtxd;;29498186;znwwesaa;8775149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1280x648;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1684254835425;16/05/2023 16:33:55;1684262035425;2;16/05/2023 20:33:55;132490;1;task-gtxd;;29556058;m94twds4;8789863;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x937;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
