Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-7qdz,branch-3wqq,Randomise questionnaire elements?,Question Key,Response
1,1682770153250,29/04/2023 12:09:13,1682770152532,2,29/04/2023 14:09:12,131710,2,questionnaire-fh17,,29180277,0dj4xrwz,8693090,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x625,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682770164037,29/04/2023 12:09:24,1682770163338,2,29/04/2023 14:09:23,131710,2,questionnaire-fh17,,29180277,0dj4xrwz,8693090,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x625,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682770164198,29/04/2023 12:09:24,1682770163340,2,29/04/2023 14:09:23,131710,2,questionnaire-fh17,,29180277,0dj4xrwz,8693090,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x625,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,10809
1,1682770639745,29/04/2023 12:17:19,1682770639365,2,29/04/2023 14:17:19,131710,2,questionnaire-fh17,,29180341,ug4upoq8,8693103,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682770677483,29/04/2023 12:17:57,1682770677158,2,29/04/2023 14:17:57,131710,2,questionnaire-fh17,,29180341,ug4upoq8,8693103,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682770677642,29/04/2023 12:17:57,1682770677160,2,29/04/2023 14:17:57,131710,2,questionnaire-fh17,,29180341,ug4upoq8,8693103,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,37795
1,1682774853308,29/04/2023 13:27:33,1682774852927,2,29/04/2023 15:27:32,131710,2,questionnaire-fh17,,29180985,ceeg9oyy,8693298,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,994x542,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682774875151,29/04/2023 13:27:55,1682774874739,2,29/04/2023 15:27:54,131710,2,questionnaire-fh17,,29180985,ceeg9oyy,8693298,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,994x542,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682774875382,29/04/2023 13:27:55,1682774874741,2,29/04/2023 15:27:54,131710,2,questionnaire-fh17,,29180985,ceeg9oyy,8693298,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,994x542,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,21814
1,1682778087675,29/04/2023 14:21:27,1682778087326,2,29/04/2023 16:21:27,131710,2,questionnaire-fh17,,29181394,9wp4tjla,8693404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1600x789,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682778119996,29/04/2023 14:21:59,1682778119665,2,29/04/2023 16:21:59,131710,2,questionnaire-fh17,,29181394,9wp4tjla,8693404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1600x789,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682778120091,29/04/2023 14:22:00,1682778119667,2,29/04/2023 16:21:59,131710,2,questionnaire-fh17,,29181394,9wp4tjla,8693404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1600x789,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,32341
1,1682807762808,29/04/2023 22:36:02,1682807749909,2,30/04/2023 00:35:49,131710,2,questionnaire-fh17,,29185423,avr4ulis,8694451,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682807790070,29/04/2023 22:36:30,1682807777206,2,30/04/2023 00:36:17,131710,2,questionnaire-fh17,,29185423,avr4ulis,8694451,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682807790200,29/04/2023 22:36:30,1682807777208,2,30/04/2023 00:36:17,131710,2,questionnaire-fh17,,29185423,avr4ulis,8694451,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,27299
1,1682844985166,30/04/2023 08:56:25,1682844984553,2,30/04/2023 10:56:24,131710,2,questionnaire-fh17,,29188180,to4qz7t0,8695268,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x609,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682845018364,30/04/2023 08:56:58,1682845017800,2,30/04/2023 10:56:57,131710,2,questionnaire-fh17,,29188180,to4qz7t0,8695268,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x609,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682845018521,30/04/2023 08:56:58,1682845017802,2,30/04/2023 10:56:57,131710,2,questionnaire-fh17,,29188180,to4qz7t0,8695268,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x609,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,33249
1,1682857302835,30/04/2023 12:21:42,1682857398699,2,30/04/2023 14:23:18,131710,2,questionnaire-fh17,,29189982,fkrn6z2h,8696184,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x821,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682857327437,30/04/2023 12:22:07,1682857423333,2,30/04/2023 14:23:43,131710,2,questionnaire-fh17,,29189982,fkrn6z2h,8696184,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x821,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682857327512,30/04/2023 12:22:07,1682857423335,2,30/04/2023 14:23:43,131710,2,questionnaire-fh17,,29189982,fkrn6z2h,8696184,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x821,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,24636
1,1682871142277,30/04/2023 16:12:22,1682871142400,2,30/04/2023 18:12:22,131710,2,questionnaire-fh17,,29192054,r362zfk9,8696930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x649,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682871173306,30/04/2023 16:12:53,1682871173508,2,30/04/2023 18:12:53,131710,2,questionnaire-fh17,,29192054,r362zfk9,8696930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x649,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682871173451,30/04/2023 16:12:53,1682871173511,2,30/04/2023 18:12:53,131710,2,questionnaire-fh17,,29192054,r362zfk9,8696930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x649,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,31111
1,1682950179394,01/05/2023 14:09:39,1682950175753,2,01/05/2023 16:09:35,131710,2,questionnaire-fh17,,29203903,b3e2ff37,8699913,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.58,1536x864,1536x746,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682950184274,01/05/2023 14:09:44,1682950180591,2,01/05/2023 16:09:40,131710,2,questionnaire-fh17,,29203903,b3e2ff37,8699913,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.58,1536x864,1536x746,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682950184411,01/05/2023 14:09:44,1682950180592,2,01/05/2023 16:09:40,131710,2,questionnaire-fh17,,29203903,b3e2ff37,8699913,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.58,1536x864,1536x746,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,4839
1,1682952883372,01/05/2023 14:54:43,1682952883127,2,01/05/2023 16:54:43,131710,2,questionnaire-fh17,,29204564,bywpsp3z,8700097,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1682952908620,01/05/2023 14:55:08,1682952908423,2,01/05/2023 16:55:08,131710,2,questionnaire-fh17,,29204564,bywpsp3z,8700097,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1682952908764,01/05/2023 14:55:08,1682952908424,2,01/05/2023 16:55:08,131710,2,questionnaire-fh17,,29204564,bywpsp3z,8700097,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,25297
1,1682961397243,01/05/2023 17:16:37,1682961397089,2,01/05/2023 19:16:37,131710,2,questionnaire-fh17,,29211273,utiwr12j,8700810,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x820,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
